SKU,GTIN,Product_Type,Title,Short_Description,Long_Description
8T1NK54G,72701716671673,Jeans,Jeans - 8T1NK54G,Durable denim jeans suitable for everyday wear.,"Made from durable denim, these jeans are built to last. They feature a classic fit and style, making them a wardrobe staple."
XSJOXOJQ,50292068472248,Pants,Pants - XSJOXOJQ,Comfortable and stylish pants for any occasion.,"Designed for comfort, these pants are versatile and can be worn for both casual and semi-formal events. Made with high-quality fabric."
VV3NHP6D,35282394252928,T-Shirts,T-Shirts - VV3NHP6D,Soft cotton t-shirt ideal for everyday use.,"This t-shirt is made from soft cotton, offering comfort throughout the day. Perfect for casual outings or relaxing at home."
9O2THIEN,19637124959400,Casual & Dress Shoes,Casual & Dress Shoes - 9O2THIEN,"Classic and stylish footwear, ideal for both casual and formal occasions.","These shoes are crafted with premium materials, providing both comfort and style. Perfect for the office or a night out."
NVF5JOWH,98009049898670,Sweatshirts & Hoodies,Sweatshirts & Hoodies - NVF5JOWH,"Cozy and comfortable sweatshirt, perfect for casual wear.",Stay warm and cozy with this stylish sweatshirt. Great for layering or wearing on its own for a relaxed look.
VADDSFM1,11987462666634,Sweatshirts & Hoodies,Sweatshirts & Hoodies - VADDSFM1,"Cozy and comfortable sweatshirt, perfect for casual wear.",Stay warm and cozy with this stylish sweatshirt. Great for layering or wearing on its own for a relaxed look.
AN8K2HJZ,13257368231872,Jeans,Jeans - AN8K2HJZ,Durable denim jeans suitable for everyday wear.,"Made from durable denim, these jeans are built to last. They feature a classic fit and style, making them a wardrobe staple."
5RXYQW0P,80343074142456,Casual & Dress Shoes,Casual & Dress Shoes - 5RXYQW0P,"Classic and stylish footwear, ideal for both casual and formal occasions.","These shoes are crafted with premium materials, providing both comfort and style. Perfect for the office or a night out."
T9GYJRL1,51266369445606,Sweatshirts & Hoodies,Sweatshirts & Hoodies - T9GYJRL1,"Cozy and comfortable sweatshirt, perfect for casual wear.",Stay warm and cozy with this stylish sweatshirt. Great for layering or wearing on its own for a relaxed look.
I4ZTQLFM,74740892189317,T-Shirts,T-Shirts - I4ZTQLFM,Soft cotton t-shirt ideal for everyday use.,"This t-shirt is made from soft cotton, offering comfort throughout the day. Perfect for casual outings or relaxing at home."
Q8949GNO,44800124083109,Casual & Dress Shoes,Casual & Dress Shoes - Q8949GNO,"Classic and stylish footwear, ideal for both casual and formal occasions.","These shoes are crafted with premium materials, providing both comfort and style. Perfect for the office or a night out."
0V5ISDSG,43357679141462,Sweatshirts & Hoodies,Sweatshirts & Hoodies - 0V5ISDSG,"Cozy and comfortable sweatshirt, perfect for casual wear.",Stay warm and cozy with this stylish sweatshirt. Great for layering or wearing on its own for a relaxed look.
U74RBFZL,45547693493840,Jeans,Jeans - U74RBFZL,Durable denim jeans suitable for everyday wear.,"Made from durable denim, these jeans are built to last. They feature a classic fit and style, making them a wardrobe staple."
7DHYUVTY,52020415154872,Jeans,Jeans - 7DHYUVTY,Durable denim jeans suitable for everyday wear.,"Made from durable denim, these jeans are built to last. They feature a classic fit and style, making them a wardrobe staple."
BQ9O9BPV,12786298744429,Pants,Pants - BQ9O9BPV,Comfortable and stylish pants for any occasion.,"Designed for comfort, these pants are versatile and can be worn for both casual and semi-formal events. Made with high-quality fabric."
AHBF6QKQ,78093314832609,Jeans,Jeans - AHBF6QKQ,Durable denim jeans suitable for everyday wear.,"Made from durable denim, these jeans are built to last. They feature a classic fit and style, making them a wardrobe staple."
24OCJ9RX,15716566806243,Jeans,Jeans - 24OCJ9RX,Durable denim jeans suitable for everyday wear.,"Made from durable denim, these jeans are built to last. They feature a classic fit and style, making them a wardrobe staple."
Z5GFFWLT,27826988696646,Casual & Dress Shoes,Casual & Dress Shoes - Z5GFFWLT,"Classic and stylish footwear, ideal for both casual and formal occasions.","These shoes are crafted with premium materials, providing both comfort and style. Perfect for the office or a night out."
H6BQ7ENS,30421833517505,T-Shirts,T-Shirts - H6BQ7ENS,Soft cotton t-shirt ideal for everyday use.,"This t-shirt is made from soft cotton, offering comfort throughout the day. Perfect for casual outings or relaxing at home."
BRI5DTUF,77167258677439,T-Shirts,T-Shirts - BRI5DTUF,Soft cotton t-shirt ideal for everyday use.,"This t-shirt is made from soft cotton, offering comfort throughout the day. Perfect for casual outings or relaxing at home."
URMCLHXM,44365150296649,T-Shirts,T-Shirts - URMCLHXM,Soft cotton t-shirt ideal for everyday use.,"This t-shirt is made from soft cotton, offering comfort throughout the day. Perfect for casual outings or relaxing at home."
3WR6IOG2,54305886089733,T-Shirts,T-Shirts - 3WR6IOG2,Soft cotton t-shirt ideal for everyday use.,"This t-shirt is made from soft cotton, offering comfort throughout the day. Perfect for casual outings or relaxing at home."
BBGF6DEK,99414953072613,T-Shirts,T-Shirts - BBGF6DEK,Soft cotton t-shirt ideal for everyday use.,"This t-shirt is made from soft cotton, offering comfort throughout the day. Perfect for casual outings or relaxing at home."
N9VTETE8,39465700865457,T-Shirts,T-Shirts - N9VTETE8,Soft cotton t-shirt ideal for everyday use.,"This t-shirt is made from soft cotton, offering comfort throughout the day. Perfect for casual outings or relaxing at home."
LSD6ZL5L,14357084613538,Sweatshirts & Hoodies,Sweatshirts & Hoodies - LSD6ZL5L,"Cozy and comfortable sweatshirt, perfect for casual wear.",Stay warm and cozy with this stylish sweatshirt. Great for layering or wearing on its own for a relaxed look.
