prompt,task
"What is the capital of France?","answer_question"
"Translate 'Good morning' to Spanish.","translation"
"Summarize the following text: 'Artificial intelligence is the simulation of human intelligence processes by machines, especially computer systems.'","summarization"
"Explain the concept of gravity.","explanation"
"Write a short story about a robot learning emotions.","creative_writing"
"Provide a recipe for a vegan chocolate cake.","instruction"
"Convert the following equation to standard form: y = 2x + 3.","math_conversion"
"Give me five tips for effective time management.","list_generation"
"Describe the process of photosynthesis.","description"
"Outline the main causes of World War II.","historical_analysis"
"Define the term 'blockchain'.","definition"
"Compose a poem about the ocean.","poetry"
"Explain how to change a flat tire.","how_to_guide"
"Translate 'I love programming' into French.","translation"
"Provide a summary of the book '1984' by George Orwell.","book_summary"
"List the seven wonders of the ancient world.","list_generation"
"Write a cover letter for a software engineer position.","professional_writing"
"Explain the difference between renewable and non-renewable energy sources.","comparison"
"Create a workout plan for beginners.","plan_creation"
"Discuss the impact of social media on society.","discussion"
